Surface area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
GRD< BIPS;R_rostralmiddlefrontal_thickavg;-0.65;;-1;-0.3;;;2.92e-04;
GRD< BIPS;R_superiorfrontal_thickavg;-0.10;;-0.44;0.24;;;0.58;
GRD< BIPS;R_superiorparietal_thickavg;-0.23;;-0.58;0.11;;;0.19;
GRD< BIPS;R_superiortemporal_thickavg;-0.13;;-0.47;0.22;;;0.49;
GRD< BIPS;R_supramarginal_thickavg;-0.05;;-0.39;0.3;;;0.81;
GRD< BIPS;R_frontalpole_thickavg;-0.36;;-0.7;-0.02;;;0.05;
GRD< BIPS;R_temporalpole_thickavg;0.05;;-0.29;0.4;;;0.77;
GRD< BIPS;R_transversetemporal_thickavg;-0.20;;-0.55;0.14;;;0.27;
GRD< BIPS;R_insula_thickavg;-0.02;;-0.36;0.33;;;0.92;
;;;;;;;;;
;;;;;;;;;
